Names,URLs,Prices,Ratings,ASIN
Caprese Yondella Women's Sling Bag  ,https://www.amazon.in//Caprese-Yondella-Womens-Medium-Synthetic/dp/B07TY4NDVF/ref=sr_1_180?keywords=bags&qid=1692735652&sr=8-180,"₹1,214",4.1,B07TY4NDVF
"Ransel School Bag, Laptop Bagpack, Huge Bagpack by Jai Guru Ji Creations| Colour - Grey | Size - 30L  ",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo4OTQ0NzExNTE4MDE4NTk4OjE2OTI3MzU2NTI6c3BfYnRmOjMwMDAzNjc2MTg4MTUzMjo6MDo6&url=%2FRansel-School-Bag-Bagpack-Creations%2Fdp%2FB0CDCHXMCJ%2Fref%3Dsr_1_181_sspa%3Fkeywords%3Dbags%26qid%3D1692735652%26sr%3D8-181-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,₹580,,B0CDCHXMCJ
"OUTBACK Alabama Leather Backpack - Upto 16"" Laptop Bag  ",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo4OTQ0NzExNTE4MDE4NTk4OjE2OTI3MzU2NTI6c3BfYnRmOjIwMTY4MzQ1MjY0ODk4OjowOjo&url=%2FOUTBACK-Alabama-Leather-Backpack-Laptop%2Fdp%2FB0BR79T7HT%2Fref%3Dsr_1_182_sspa%3Fkeywords%3Dbags%26qid%3D1692735652%26sr%3D8-182-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"₹11,499",,B0BR79T7HT
MALIK TRADES Sport Chairman Laptop Bag | Premium Business Backpack for Men & Women | Durable Office Bag for Notebook/MacBook GREY/  ,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3MzM3ODk1OTU5MTQ0NTk4OjE2OTI3MzU2NzA6c3BfYXRmX25leHQ6MjAxNTg5MDM1MTQ2OTg6OjA6Og&url=%2FMALIK-TRADES-Chairman-Business-Backpack%2Fdp%2FB0BZD65NJ1%2Fref%3Dsr_1_177_sspa%3Fkeywords%3Dbags%26qid%3D1692735670%26sr%3D8-177-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"₹2,000",,B0BZD65NJ1
FUR JADEN Pro Series Smart Tech Anti-Theft Laptop Backpack With USB-A and USB-C Type Charging Port for Men & Women For Business Professionals & College Students  ,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3MzM3ODk1OTU5MTQ0NTk4OjE2OTI3MzU2NzA6c3BfYXRmX25leHQ6MjAxNTM5NjI0MjE0OTg6OjA6Og&url=%2FFUR-JADEN-Anti-Theft-Backpack-Professionals%2Fdp%2FB0C28QQMFJ%2Fref%3Dsr_1_178_sspa%3Fkeywords%3Dbags%26qid%3D1692735670%26sr%3D8-178-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"₹3,499",4.6,B0C28QQMFJ
"AirCase Office Sling Messenger Bag fits Upto 15.6"" Laptop/MacBook, Detachable Shoulder Strap, Waterproof, Shockproof, Spacious Pockets for Office/Travel  ",https://www.amazon.in//AirCase-C30-Messenger-Compartments-Multi-Pockets/dp/B07V47HHRG/ref=sr_1_179?keywords=bags&qid=1692735670&sr=8-179,"₹1,499",3.5,B07V47HHRG
DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years)  ,https://www.amazon.in//DZert-Kids-Grey-School-Years/dp/B07QD1M3R9/ref=sr_1_180?keywords=bags&qid=1692735670&sr=8-180,₹200,3.7,B07QD1M3R9
Caprese Yondella Women's Sling Bag  ,https://www.amazon.in//Caprese-Yondella-Womens-Medium-Synthetic/dp/B07TY4NDVF/ref=sr_1_181?keywords=bags&qid=1692735670&sr=8-181,"₹1,214",4.1,B07TY4NDVF
FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Navy Blue Oxford Fabric)  ,https://www.amazon.in//FATMUG-Laptop-Bag-Men-Convertible/dp/B084LFS4G1/ref=sr_1_182?keywords=bags&qid=1692735670&sr=8-182,"₹1,699",4.4,B084LFS4G1
WildHorn Leather Laptop Bag for Men I Fits Upto 15.6 Inch Laptop/MacBook I Padded Laptop Compartment I Carry Handles with Adjustable Strap I DIMENSION : L-16 inch W-4 inch H-12 inch  ,https://www.amazon.in//WildHorn-Leather-Laptop-Messenger-Dimension/dp/B079HQKSZN/ref=sr_1_183?keywords=bags&qid=1692735670&sr=8-183,"₹2,629",4.2,B079HQKSZN
ZOUK Multicolored Printed Handmade Vegan Leather Women's Office Bag for 15.6 inch Laptop with Double Handles - WavBeach  ,https://www.amazon.in//ZOUK-Multicolored-Printed-Handmade-Leather/dp/B07LB7V3MV/ref=sr_1_184?keywords=bags&qid=1692735670&sr=8-184,"₹1,498",4.5,B07LB7V3MV
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls  ",https://www.amazon.in//FUR-JADEN-Backpack-Compartment-Organizer/dp/B0BYSZ3TKW/ref=sr_1_185?keywords=bags&qid=1692735670&sr=8-185,₹799,4.4,B0BYSZ3TKW
Lavie Women's Odiase Medium Satchel Bag | Ladies Purse Handbag  ,https://www.amazon.in//Lavie-Odiase-Womens-Satchel-Handbag/dp/B08SW9RJ75/ref=sr_1_186?keywords=bags&qid=1692735670&sr=8-186,"₹1,099",4.1,B08SW9RJ75
"Ransel School Bag, Laptop Bagpack, Huge Bagpack by Jai Guru Ji Creations| Colour - Mahroon | Size - 35L  ",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3MzM3ODk1OTU5MTQ0NTk4OjE2OTI3MzU2NzA6c3BfbXRmOjMwMDAzNjc2MTg4MTgzMjo6MDo6&url=%2FRansel-School-Bag-Bagpack-Creations%2Fdp%2FB0CDCJCRFH%2Fref%3Dsr_1_187_sspa%3Fkeywords%3Dbags%26qid%3D1692735670%26sr%3D8-187-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"₹1,250",,B0CDCJCRFH
"Ransel School Bag, Laptop Bagpack, Huge Bagpack by Jai Guru Ji Creations| Colour - Blue | Size - 35L  ",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3MzM3ODk1OTU5MTQ0NTk4OjE2OTI3MzU2NzA6c3BfbXRmOjMwMDAzNjc2MTg4MjUzMjo6MDo6&url=%2FRansel-School-Bag-Bagpack-Creations%2Fdp%2FB0CDCH4BKY%2Fref%3Dsr_1_188_sspa%3Fkeywords%3Dbags%26qid%3D1692735670%26sr%3D8-188-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,₹950,,B0CDCH4BKY
